,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Per of Cases,Per of Deaths
76,0.043,0.047,0.051,0.197,0.662,0.859,0.141,0.007562853444164,1.70334537030728E-05
77,0.025,0.149,0.174,0.256,0.396,0.652,0.348,0.003524926264298,0
78,0.042,0.043,0.049,0.233,0.633,0.866,0.134,0.001230958609017,0
79,0.103,0.022,0.007,0.521,0.347,0.868,0.132,0.00048111618956,0
80,0.042,0.051,0.048,0.198,0.66,0.858,0.141,0.002769648346982,1.84643223132103E-05
81,0.086,0.061,0.009,0.544,0.3,0.844,0.156,0.001999200319872,0
82,0.036,0.059,0.235,0.215,0.455,0.67,0.33,0.001525630593979,0
83,0.035,0.188,0.051,0.474,0.252,0.726,0.274,0.003674058522504,0
84,0.042,0.095,0.148,0.349,0.365,0.714,0.285,0.00275566442131,0
85,0.033,0.125,0.161,0.3,0.38,0.68,0.319,0.000967273899726,0
86,0.048,0.077,0.137,0.381,0.357,0.738,0.262,0.003650064759213,0
87,0.064,0.071,0.14,0.272,0.453,0.725,0.275,0.003771942550413,0
88,0.04,0.049,0.052,0.197,0.663,0.86,0.141,0.009671810475983,0
89,0.035,0.119,0.16,0.312,0.374,0.686,0.314,0.003197442046363,0
90,0.044,0.047,0.126,0.425,0.358,0.783,0.217,0.008604206500956,0.00019120458891
91,0.055,0.063,0.031,0.15,0.701,0.851,0.149,0.042483341911611,0.00187794733401
92,0.053,0.025,0.147,0.194,0.581,0.775,0.225,0.012094788837534,0.000389129778752
93,0.039,0.08,0.07,0.11,0.702,0.812,0.189,0.020658507346176,0.000815467395244
94,0.073,0.014,0.03,0.336,0.547,0.883,0.117,0.015217149838943,0.000536858084342
95,0.095,0.067,0.237,0.049,0.553,0.602,0.399,0.012307850760872,0.000231737775832
96,0.111,0.089,0.167,0.089,0.544,0.633,0.367,0.005790692777427,0.000210570646452
97,0.031,0.064,0.162,0.173,0.57,0.743,0.257,0.022361190070116,0.000473754026909
98,0.023,0.025,0.059,0.158,0.734,0.892,0.107,0.02659620717285,0.000465731814276
99,0.051,0.096,0.104,0.164,0.585,0.749,0.251,0.014143584958125,0.00072108247204
100,0.091,0.108,0.059,0.139,0.602,0.741,0.258,0.047374779128052,0.001694854134362
101,0.023,0.024,0.073,0.121,0.759,0.88,0.12,0.015731242581967,0.000441143191069
102,0.033,0.055,0.096,0.148,0.667,0.815,0.184,0.017617099801421,0.000302513672538
103,0.028,0.002,0.058,0.074,0.837,0.911,0.088,0.056131446513829,0.001075315067315
104,0.031,0.073,0.081,0.176,0.639,0.815,0.185,0.007562771428207,0.000255211634248
105,0.008,0.013,0.046,0.129,0.804,0.933,0.067,0.051845996248603,0.001216163751772
106,0.019,0.073,0.134,0.216,0.557,0.773,0.226,0.011094589957681,0
107,0.023,0.103,0.163,0.117,0.595,0.712,0.289,0.012107646131149,0.000203489850944
108,0.15,0.104,0.108,0.104,0.534,0.638,0.362,0.00143088810455,0
109,0.081,0.034,0.083,0.16,0.643,0.803,0.198,0.016102973049463,0.000139714337915
110,0.129,0.145,0.122,0.189,0.416,0.605,0.396,0.004327847830733,2.67151100662535E-05
111,0.094,0.102,0.175,0.184,0.445,0.629,0.371,0.013193347579671,0.000278732695345
112,0.145,0.132,0.108,0.211,0.404,0.615,0.385,0.002505299672384,0
113,0.111,0.068,0.115,0.129,0.577,0.706,0.294,0.011874559548978,0.000211416490486
114,0.104,0.074,0.193,0.097,0.531,0.628,0.371,0.051591223561969,0.000593002569678
115,0.08,0.091,0.08,0.231,0.518,0.749,0.251,0.006810035842294,0
116,0.082,0.124,0.157,0.242,0.395,0.637,0.363,0.007215998900419,0.000274895196206
117,0.036,0.065,0.093,0.259,0.546,0.805,0.194,0.007183273807135,0.000200650106345
118,0.107,0.03,0.16,0.231,0.472,0.703,0.297,0.008421317244847,0.000251382604324
119,0.241,0.072,0.054,0.25,0.383,0.633,0.367,0.007929402736923,0.000255787185062
120,0.071,0.12,0.137,0.347,0.325,0.672,0.328,0.006428091720234,0.000143912501199
121,0.078,0.123,0.138,0.341,0.32,0.661,0.339,0.010006163216474,9.96990900192147E-05
122,0.155,0.1,0.167,0.211,0.367,0.578,0.422,0.008252051156394,4.74255813585848E-05
123,0.059,0.017,0.11,0.306,0.508,0.814,0.186,0.024835783547075,0.000375351892399
124,0.097,0.017,0.163,0.319,0.404,0.723,0.277,0.009866617942627,6.09050490285645E-05
125,0.197,0.055,0.093,0.196,0.459,0.655,0.345,0.007989727493223,0
126,0.078,0.033,0.19,0.189,0.509,0.698,0.301,0.012674940586216,0.000176040841475
127,0.063,0.049,0.207,0.159,0.523,0.682,0.319,0.008507601954004,0.000109775509084
128,0.066,0.027,0.077,0.403,0.426,0.829,0.17,0.009443919782234,3.96803352194719E-05
129,0.149,0.079,0.245,0.187,0.34,0.527,0.473,0.005927180355631,0.000112898673441
130,0.105,0.121,0.226,0.197,0.351,0.548,0.452,0.002163981726377,0
131,0.025,0.102,0.068,0.21,0.596,0.806,0.195,0.008421709295072,7.04324552753909E-05
132,0.082,0.043,0.127,0.258,0.489,0.747,0.252,0.00678894059677,0
133,0.062,0.141,0.154,0.346,0.297,0.643,0.357,0.007920573634859,2.20628792057363E-05
134,0.098,0.073,0.096,0.179,0.554,0.733,0.267,0.009613598365224,9.28850083596507E-05
135,0.059,0.086,0.079,0.216,0.56,0.776,0.224,0.042965858280774,0.000236889639039
136,0.081,0.07,0.145,0.145,0.56,0.705,0.296,0.022269353128314,0.000151492198152
137,0.137,0.156,0.088,0.179,0.44,0.619,0.381,0.009120951751487,0
138,0.086,0.121,0.133,0.23,0.43,0.66,0.34,0.003228410008071,7.33729547288869E-05
139,0.116,0.103,0.135,0.179,0.468,0.647,0.354,0.003469107004007,5.98121897242658E-05
140,0.042,0.036,0.172,0.173,0.577,0.75,0.25,0.0196785586017,0.000568657967197
141,0.144,0.103,0.205,0.221,0.328,0.549,0.452,0.023214688840394,0
142,0.12,0.082,0.078,0.234,0.486,0.72,0.28,0.007397342995169,0.00030193236715
143,0.085,0.128,0.153,0.298,0.337,0.635,0.366,0.011093502377179,0.000548579787882
144,0.103,0.032,0.195,0.263,0.407,0.67,0.33,0.099920966467201,0.000677430281134
145,0.035,0.016,0.194,0.201,0.554,0.755,0.245,0.08968058968059,0.000844594594595
146,0.074,0.121,0.106,0.201,0.499,0.7,0.301,0.012399053756424,8.15727220817359E-05
147,0.148,0.11,0.12,0.143,0.479,0.622,0.378,0.006568526972887,0
148,0.048,0.045,0.136,0.297,0.474,0.771,0.229,0.00567461021157,2.72817798633183E-05
149,0.075,0.088,0.159,0.114,0.564,0.678,0.322,0.015323359073359,6.03281853281853E-05
150,0.171,0.112,0.119,0.108,0.49,0.598,0.402,0.001377740505571,0
151,0.064,0.124,0.106,0.219,0.487,0.706,0.294,0.010564764084426,9.24705827958481E-05
152,0.033,0.109,0.134,0.284,0.44,0.724,0.276,0.018498929915623,0.000245996408452
153,0.068,0.128,0.127,0.271,0.406,0.677,0.323,0.007610804357559,0
154,0.081,0.095,0.136,0.166,0.521,0.687,0.312,0.00278210549744,0
155,0.143,0.048,0.084,0.224,0.501,0.725,0.275,0.015632573921474,0.001090644692196
156,0.107,0.14,0.084,0.261,0.408,0.669,0.331,0.011995356636141,0.000386946988263
157,0.151,0.097,0.06,0.242,0.449,0.691,0.308,0.0032503635275,4.2767941151313E-05
158,0.098,0.051,0.08,0.367,0.404,0.771,0.229,0.00468675274988,0
159,0.052,0.061,0.134,0.276,0.477,0.753,0.247,0.015352603756608,0.000337419862783
160,0.064,0.061,0.2,0.176,0.501,0.677,0.325,0.007184176152267,9.33009889904833E-05
161,0.077,0.098,0.141,0.287,0.397,0.684,0.316,0.006630397823869,0.000127507650459
162,0.18,0.08,0.217,0.076,0.446,0.522,0.477,0.006411540773392,5.00901622921258E-05
163,0.082,0.151,0.181,0.285,0.302,0.587,0.414,0.01832313647147,0.000140466974654
164,0.062,0.17,0.103,0.273,0.391,0.664,0.335,0.007814438104689,0
165,0.028,0.027,0.126,0.175,0.644,0.819,0.181,0.012255333481326,0.000196473178859
166,0.051,0.145,0.203,0.289,0.311,0.6,0.399,0.009466533021495,0.000111370976723
167,0.087,0.007,0.289,0.267,0.35,0.617,0.383,0.044690725774186,0.000120028806914
168,0.066,0.044,0.154,0.212,0.524,0.736,0.264,0.00708936024241,3.26698628682506E-05
169,0.155,0.14,0.124,0.123,0.458,0.581,0.419,0.003987938916448,0
170,0.1,0.088,0.125,0.149,0.538,0.687,0.313,0.003172186270778,0
171,0.121,0.142,0.157,0.208,0.372,0.58,0.42,0.013486978494371,0.000109523027216
172,0.12,0.093,0.155,0.165,0.467,0.632,0.368,0.054859763626742,0.000587993179279
173,0.067,0.158,0.22,0.222,0.333,0.555,0.445,0.005847953216374,0.000286664373352
174,0.067,0.092,0.11,0.234,0.498,0.732,0.269,0.004158004158004,7.99616184231569E-05
175,0.116,0.179,0.098,0.262,0.344,0.606,0.393,0.011116281474588,0.000413629078124
176,0.033,0.06,0.096,0.272,0.539,0.811,0.189,0.003022061045633,0.000120882441825
177,0.034,0.028,0.101,0.186,0.651,0.837,0.163,0.02488429555118,0.000192318144381
178,0.026,0.054,0.152,0.277,0.491,0.768,0.232,0.003225273957817,2.53958579355707E-05
179,0.059,0.048,0.208,0.231,0.454,0.685,0.315,0.003006329113924,0
180,0.116,0.1,0.112,0.198,0.474,0.672,0.328,0.047420458272808,0.000656014244881
181,0.019,0.008,0.055,0.123,0.795,0.918,0.082,0.006883743416168,0.00011308365977
182,0.025,0.085,0.088,0.19,0.612,0.802,0.198,0.00177147918512,0
183,0.045,0.013,0.099,0.188,0.655,0.843,0.157,0.003119339907426,0
184,0.015,0.043,0.111,0.204,0.626,0.83,0.169,0.004293157409689,3.19363462994899E-05
185,0.045,0.019,0.098,0.276,0.562,0.838,0.162,0.002723014922122,2.17841193769742E-05
186,0.027,0.031,0.092,0.151,0.7,0.851,0.15,0.014990485914513,0.00018564069244
187,0.018,0.016,0.039,0.121,0.806,0.927,0.073,0.006767077638475,0.000104895771747
188,0.01,0.135,0.112,0.196,0.547,0.743,0.257,0.00316410182655,0
189,0.028,0.042,0.072,0.183,0.675,0.858,0.142,0.003303205198011,5.18556545998558E-06
190,0.021,0.022,0.059,0.156,0.741,0.897,0.102,0.015096571818065,0.000138124173632
191,0.028,0.026,0.146,0.206,0.594,0.8,0.2,0.010706864367978,3.52199485788751E-05
192,0.042,0.006,0.018,0.069,0.865,0.934,0.066,0.001718821463875,2.9507664615884E-05
193,0.001,0.005,0.03,0.128,0.836,0.964,0.036,0.051921750406975,0.001208509229368
194,0.033,0.011,0.008,0.058,0.889,0.947,0.052,0.002494595044071,5.5435445423804E-05
195,0.022,0.028,0.105,0.177,0.668,0.845,0.155,0.022284998255947,0.000159964096947
196,0.075,0.016,0.049,0.094,0.766,0.86,0.14,0.028638681836014,0.000366156662744
197,0.003,0.004,0.007,0.136,0.849,0.985,0.014,0.003028608703755,1.55313266859255E-05
198,0.064,0.068,0.162,0.225,0.482,0.707,0.294,0.019559742256239,0
199,0.021,0.013,0.049,0.131,0.786,0.917,0.083,0.018995016190185,0.000465081206924
200,0.019,0.059,0.048,0.124,0.751,0.875,0.126,0.012941198904193,0.000190685642007
201,0.011,0,0.046,0.141,0.802,0.943,0.057,0.019542086189177,0.000270451963868
202,0.01,0.094,0.049,0.186,0.661,0.847,0.153,0.003255246177992,0.000116258792071
203,0.002,0.003,0.004,0.222,0.77,0.992,0.009,0.003654220797934,0.000103747593632
204,0.026,0.036,0.089,0.146,0.703,0.849,0.151,0.015431431864016,0.000180063382311
205,0.068,0.019,0.095,0.204,0.615,0.819,0.182,0.000226218753535,0
206,0.011,0.026,0.012,0.07,0.88,0.95,0.049,0.00976183882581,6.923289947383E-05
207,0.023,0.006,0.066,0.141,0.763,0.904,0.095,0.010821059712805,6.9114709683662E-05
208,0.017,0.026,0.033,0.149,0.773,0.922,0.076,0.006519340225346,5.80787547914973E-05
209,0.003,0.054,0.084,0.177,0.682,0.859,0.141,0.003027417172072,1.00245601724224E-05
210,0.023,0.021,0.046,0.156,0.754,0.91,0.09,0.011598416974946,0.000204364906924
211,0.012,0.023,0.072,0.201,0.693,0.894,0.107,0.004800052218141,3.76573134268406E-05
212,0.063,0.067,0.053,0.146,0.671,0.817,0.183,0.001329292284788,0
213,0.026,0.014,0.041,0.116,0.803,0.919,0.081,0.015224165022631,0.000281314332945
214,0.025,0.028,0.062,0.164,0.722,0.886,0.115,0.006452722771958,9.14914262224736E-05
215,0.018,0.004,0.063,0.175,0.739,0.914,0.085,0.01023754935677,6.36861546299834E-05
216,0.027,0.022,0.048,0.134,0.768,0.902,0.097,0.014997580369573,0.000191276945624
217,0.017,0.023,0.034,0.126,0.8,0.926,0.074,0.008878690842427,0.000169246299797
218,0.017,0.011,0.035,0.121,0.817,0.938,0.063,0.007629751721118,6.91963804621184E-05
219,0.054,0.019,0.081,0.165,0.68,0.845,0.154,0.015168969806389,0.000220429627841
220,0.025,0.024,0.037,0.169,0.745,0.914,0.086,0.006297883162435,5.2982752348019E-05
221,0.016,0.013,0.058,0.126,0.786,0.912,0.087,0.007232187932526,0.000155236357138
222,0.015,0.02,0.075,0.153,0.737,0.89,0.11,0.014277747542548,0.0001343788004
223,0.015,0.014,0.04,0.168,0.764,0.932,0.069,0.005353626730683,9.95927073240062E-05
224,0.008,0,0.086,0.109,0.797,0.906,0.094,0.004216490430543,1.46405917727195E-05
225,0.095,0.056,0.071,0.232,0.547,0.779,0.222,0.002049089293647,4.99777876499334E-05
226,0.14,0.053,0.047,0.143,0.617,0.76,0.24,0.000332778702163,0
227,0.132,0.074,0.082,0.167,0.546,0.713,0.288,0.00167665770918,0
228,0.043,0.046,0.035,0.148,0.728,0.876,0.124,0.008077865620595,8.26551515381677E-05
229,0.022,0.012,0.022,0.149,0.795,0.944,0.056,0.006180007120663,7.48478767477991E-05
230,0.032,0.028,0.062,0.173,0.705,0.878,0.122,0.016454799694912,0.000199760287655
231,0.058,0.031,0.08,0.163,0.669,0.832,0.169,0.008105516082128,6.18741685658599E-05
232,0.057,0.062,0.141,0.195,0.545,0.74,0.26,0.003272693749616,1.5364759387868E-05
233,0.081,0.07,0.055,0.201,0.592,0.793,0.206,0.0004884004884,0
234,0.025,0.039,0.115,0.136,0.685,0.821,0.179,0.02027906777207,0.000381814476775
235,0.008,0.043,0.084,0.212,0.653,0.865,0.135,0.002588200741584,3.67120672565072E-05
236,0.024,0.011,0.033,0.156,0.777,0.933,0.068,0.008890007872285,8.98338782467264E-05
237,0.007,0.005,0.04,0.156,0.791,0.947,0.052,0.007002267573696,0.000190476190476
238,0.057,0.035,0.071,0.167,0.669,0.836,0.163,0.006165149743225,5.08465958204098E-05
239,0.032,0.027,0.071,0.185,0.685,0.87,0.13,0.011630761024388,0.000330485233495
240,0.052,0.133,0.094,0.228,0.493,0.721,0.279,0.013799051315222,0.000554426168915
241,0.013,0.026,0.065,0.193,0.703,0.896,0.104,0.01055757778827,0.000552856424862
242,0.041,0.041,0.155,0.276,0.488,0.764,0.237,0.002352270297241,0
243,0.113,0.053,0.194,0.206,0.435,0.641,0.36,0.003909522479754,0
244,0.033,0.036,0.172,0.191,0.567,0.758,0.241,0.000896539358078,0
245,0.008,0.015,0.032,0.195,0.75,0.945,0.055,0.005840047088254,0.000229923113711
246,0.018,0.005,0.042,0.201,0.734,0.935,0.065,0.005761725679415,0.000454126161924
247,0.038,0.045,0.134,0.138,0.645,0.783,0.217,0.014049911573983,0.000933385733936
248,0.016,0.187,0.106,0.398,0.292,0.69,0.309,0.004369197160022,0
249,0.002,0.015,0.138,0.123,0.723,0.846,0.155,0.002783505154639,0.000103092783505
250,0.06,0.106,0.093,0.195,0.545,0.74,0.259,0.002803168799513,0
251,0.034,0.072,0.076,0.175,0.644,0.819,0.182,0.005659891947517,0
252,0.002,0.034,0.08,0.294,0.59,0.884,0.116,0.01187922785019,0.000164989275697
253,0.017,0.098,0.153,0.234,0.498,0.732,0.268,0.00197316495659,0
254,0.087,0.094,0.074,0.295,0.45,0.745,0.255,0.003369488479558,3.20903664719851E-05
255,0.02,0.018,0.062,0.194,0.707,0.901,0.1,0.01332900629941,0.000567923202482
256,0.052,0.039,0.066,0.252,0.591,0.843,0.157,0.000486618004866,0
257,0.013,0.041,0.081,0.192,0.673,0.865,0.135,0.004624751533515,0.000168017451033
258,0.008,0.003,0.033,0.269,0.687,0.956,0.044,0.018883668619733,0.00016325938288
259,0.016,0.044,0.19,0.246,0.505,0.751,0.25,0.003180066594336,7.48250963373115E-05
260,0.031,0.089,0.081,0.196,0.603,0.799,0.201,0.006432510691932,0.000190171334656
261,0.006,0.069,0.062,0.2,0.663,0.863,0.137,0.002299379167625,0
262,0.065,0.04,0.037,0.326,0.532,0.858,0.142,0.011738066299263,6.65989577263116E-05
263,0.001,0.027,0.017,0.17,0.785,0.955,0.045,0.002562870414865,0
264,0.006,0.002,0.05,0.187,0.754,0.941,0.058,0.002732935045125,6.35566289564002E-05
265,0.057,0.039,0.043,0.281,0.581,0.862,0.139,0.014087733363876,0.000343603252777
266,0.043,0.05,0.117,0.271,0.519,0.79,0.21,0.003658536585366,0
267,0.028,0.051,0.051,0.275,0.595,0.87,0.13,0.000869943453676,0.000144990575613
268,0.021,0.027,0.09,0.342,0.52,0.862,0.138,0.005747126436782,0
269,0.028,0.031,0.075,0.194,0.673,0.867,0.134,0.006716636843541,0.000389444843802
270,0.024,0.323,0.119,0.344,0.19,0.534,0.466,0.006058898125969,0.000422713822742
271,0.002,0.016,0.036,0.193,0.753,0.946,0.054,0.008613264427218,0
272,0.043,0.02,0.122,0.274,0.541,0.815,0.185,0.003521815691645,3.55738958752068E-05
273,0.013,0.037,0.06,0.231,0.659,0.89,0.11,0.003855432489304,9.80669601203702E-05
274,0.052,0.03,0.101,0.17,0.648,0.818,0.183,0.001034054873845,0
275,0.013,0.068,0.196,0.403,0.321,0.724,0.277,0.001052446939133,0
276,0.078,0.202,0.101,0.368,0.251,0.619,0.381,0.028872328082467,0.000223124637422
277,0.075,0.105,0.098,0.222,0.499,0.721,0.278,0.001686012580248,1.94539913105505E-05
278,0.049,0.072,0.138,0.264,0.478,0.742,0.259,0.023407022106632,0
279,0.041,0.142,0.162,0.284,0.371,0.655,0.345,0.001882104946172,7.52841978468719E-05
280,0.057,0.019,0.081,0.257,0.586,0.843,0.157,0.004124813810488,0.00015277088187
281,0.085,0.092,0.074,0.314,0.436,0.75,0.251,0.006501707282848,0.0003040366715
282,0.083,0.161,0.116,0.245,0.396,0.641,0.36,0.023255813953488,0.00158249621577
283,0.004,0.047,0.102,0.194,0.653,0.847,0.153,0.002954371375424,0.000328263486158
284,0.06,0.08,0.069,0.295,0.495,0.79,0.209,0.002423263327948,0.000201938610662
285,0.021,0.018,0.103,0.137,0.722,0.859,0.142,0.002175643406739,5.30644733351021E-05
286,0.05,0.19,0.137,0.255,0.368,0.623,0.377,0.004454865181712,0
287,0.019,0.014,0.016,0.318,0.633,0.951,0.049,0.009455732537851,0.000112568244498
288,0.079,0.046,0.205,0.201,0.469,0.67,0.33,0.003943476832074,0
289,0.018,0.044,0.074,0.28,0.584,0.864,0.136,0.003627749014392,0.000201871467249
290,0.111,0.092,0.074,0.265,0.458,0.723,0.277,0.001106894370651,0
291,0.061,0.144,0.11,0.242,0.444,0.686,0.315,0.007721665039496,0.000177509541138
292,0.008,0.036,0.092,0.375,0.489,0.864,0.136,0.004134487869569,0.000234027615259
293,0.065,0.122,0.138,0.232,0.443,0.675,0.325,0.015679953106682,0.000293083235639
294,0.032,0.038,0.097,0.27,0.563,0.833,0.167,0.002747252747253,0
295,0.043,0.058,0.074,0.26,0.565,0.825,0.175,0.009292089497494,0
296,0.065,0.162,0.138,0.267,0.368,0.635,0.365,0.004893238434164,0.000444839857651
297,0,0.001,0.064,0.151,0.784,0.935,0.065,0.010383412337558,0.000128986488665
298,0.105,0.087,0.066,0.145,0.597,0.742,0.258,0.00441153300772,0.000118166062707
299,0.077,0.208,0.101,0.303,0.31,0.613,0.386,0.009576202118989,0
300,0.046,0.038,0.135,0.231,0.55,0.781,0.219,0.010863133759846,0.000434525350394
301,0.038,0.284,0.133,0.255,0.29,0.545,0.455,0.006188242339555,0
302,0.027,0.019,0.06,0.114,0.78,0.894,0.106,0.018861864115709,0.001490461470617
303,0.015,0.023,0.065,0.13,0.767,0.897,0.103,0.014180460234154,0.001583456690441
304,0.017,0.051,0.021,0.098,0.812,0.91,0.089,0.00885583892022,0.000765250952405
305,0.003,0.007,0.055,0.128,0.807,0.935,0.065,0.008477184860499,0.001175847718486
